#{"t_start": 1692018644.9276133, "env_id": null}
r,l,t
-1010.0,67,37.984398
-180.0,27,38.016914
80.0,14,38.027539
-680.0,52,38.041159
-660.0,51,38.068004
-1150.0,59,38.087265
-380.0,37,38.097165
-60.0,21,38.129102
20.0,17,38.141571
-20.0,19,38.170827
-240.0,30,38.184032
-280.0,32,38.227682
-40.0,20,38.242883
80.0,14,38.259252
-640.0,50,38.301119
-120.0,24,38.317653
-340.0,35,38.338059
-60.0,21,38.357136
-240.0,30,38.384343
-280.0,32,38.398874
-120.0,24,38.408587
-60.0,21,38.426963
-280.0,32,38.453642
60.0,15,38.467364
100.0,13,38.484796
-260.0,31,38.502837
-80.0,22,38.529823
40.0,16,38.542386
-200.0,28,38.56146
-100.0,23,38.591045
-100.0,23,38.603998
-160.0,26,38.628158
-20.0,19,38.645306
-60.0,21,38.658432
-280.0,32,38.693093
-240.0,30,38.717677
-20.0,19,38.730328
-120.0,24,38.745258
20.0,17,38.760238
-440.0,40,38.771625
-320.0,34,38.785751
-60.0,21,38.817189
-60.0,21,38.83034
-400.0,38,38.864329
-140.0,25,38.864382
0.0,18,38.877714
-400.0,38,38.904023
-440.0,40,38.922465
-180.0,27,38.942074
20.0,17,38.953222
40.0,16,38.968027
-100.0,23,38.985419
60.0,15,39.017627
40.0,16,39.032389
-180.0,27,39.0464
-100.0,23,39.06311
-480.0,42,39.116231
-40.0,20,39.12952
-500.0,43,39.151159
-280.0,32,39.173983
-320.0,34,39.174045
-480.0,42,39.207873
60.0,15,39.207978
-340.0,35,39.261916
-140.0,25,39.285244
-180.0,27,39.298452
-340.0,35,39.313445
-400.0,38,39.325257
-140.0,25,39.350751
-1030.0,53,39.366247
-200.0,28,39.386044
-100.0,23,39.397312
-380.0,37,39.415023
-80.0,22,39.42931
-200.0,28,39.455784
-560.0,46,39.493634
-40.0,20,39.493691
-80.0,22,39.524857
-320.0,34,39.535563
-220.0,29,39.570901
-120.0,24,39.581234
-260.0,31,39.606244
-460.0,41,39.616918
20.0,17,39.645064
-460.0,41,39.681043
-240.0,30,39.695903
60.0,15,39.707784
-600.0,48,39.73048
-260.0,31,39.767686
-240.0,30,39.767814
-60.0,21,39.822413
-40.0,20,39.840434
-220.0,29,39.850007
-180.0,27,39.872923
-40.0,20,39.872994
-160.0,26,39.908269
20.0,17,39.939404
-100.0,23,39.953727
-260.0,31,39.97315
-40.0,20,39.996197
-320.0,34,40.040719
80.0,14,40.040775
100.0,13,40.082044
-120.0,24,40.091987
-140.0,25,40.12098
-500.0,43,40.155505
-100.0,23,40.18968
-400.0,38,40.200141
-200.0,28,40.214342
-1390.0,86,40.244334
-320.0,34,40.257073
-40.0,20,40.276703
-180.0,27,40.315287
-580.0,47,40.334517
-20.0,19,40.346464
-440.0,40,40.361687
-380.0,37,40.398427
-40.0,20,40.421785
-620.0,49,40.444932
-280.0,32,40.451689
-120.0,24,40.459931
-240.0,30,40.470722
-100.0,23,40.485326
-40.0,20,40.50038
-40.0,20,40.529031
-200.0,28,40.565062
-340.0,35,40.585961
-140.0,25,40.594232
-40.0,20,40.605305
-300.0,33,40.61441
-120.0,24,40.648233
20.0,17,40.658492
-140.0,25,40.687638
-970.0,65,40.720688
-80.0,22,40.720782
-360.0,36,40.755023
100.0,13,40.775233
-180.0,27,40.796129
-80.0,22,40.805578
-140.0,25,40.823492
-100.0,23,40.841901
-40.0,20,40.86465
-120.0,24,40.895694
-240.0,30,40.923216
-820.0,59,40.938583
-120.0,24,40.955573
-320.0,34,40.97309
-60.0,21,40.996871
-300.0,33,41.012055
40.0,16,41.05148
-40.0,20,41.051538
-400.0,38,41.088463
-520.0,44,41.100047
-40.0,20,41.109487
-60.0,21,41.119648
-260.0,31,41.131001
-400.0,38,41.15694
40.0,16,41.180583
-100.0,23,41.222027
-140.0,25,41.241632
-40.0,20,41.261737
-300.0,33,41.276062
-300.0,33,41.28682
-220.0,29,41.295688
0.0,18,41.347605
-300.0,33,41.362637
-360.0,36,41.380006
-260.0,31,41.393788
-160.0,26,41.432823
-40.0,20,41.444851
-200.0,28,41.475229
-680.0,52,41.475353
-20.0,19,41.493143
-840.0,60,41.537625
60.0,15,41.53769
-60.0,21,41.557877
-140.0,25,41.59024
-160.0,26,41.601136
-260.0,31,41.623016
-40.0,20,41.633831
0.0,18,41.663875
-360.0,36,41.70476
-60.0,21,41.716041
-260.0,31,41.759556
-740.0,55,41.788821
-160.0,26,41.828843
-200.0,28,41.844504
-100.0,23,41.863394
-880.0,62,41.881098
-540.0,45,41.881155
40.0,16,41.90258
-340.0,35,41.92522
40.0,16,41.935056
20.0,17,41.942649
-120.0,24,41.952009
-100.0,23,41.970053
-160.0,26,42.017029
40.0,16,42.017102
-60.0,21,42.03448
-160.0,26,42.051529
20.0,17,42.077739
-240.0,30,42.090629
-200.0,28,42.130996
-220.0,29,42.145302
-1030.0,53,42.15802
-500.0,43,42.183969
-200.0,28,42.197037
-400.0,38,42.234277
-280.0,32,42.272392
-420.0,39,42.28586
-260.0,31,42.301079
-140.0,25,42.329477
-380.0,37,42.341031
-620.0,49,42.367433
-60.0,21,42.392359
-300.0,33,42.411333
-200.0,28,42.432624
-180.0,27,42.451085
-380.0,37,42.469885
-40.0,20,42.499831
-840.0,60,42.512974
-420.0,39,42.536211
-160.0,26,42.568617
-80.0,22,42.583638
60.0,15,42.606421
60.0,15,42.647442
60.0,15,42.665761
-480.0,42,42.704426
-580.0,47,42.713043
-140.0,25,42.749675
-500.0,43,42.749779
-220.0,29,42.749849
-1280.0,82,42.749884
80.0,14,42.7983
-160.0,26,42.811009
-200.0,28,42.822589
-120.0,24,42.831341
-280.0,32,42.853738
-240.0,30,42.891732
-280.0,32,42.908993
-280.0,32,42.925108
-400.0,38,42.944962
-220.0,29,42.972812
-1190.0,76,42.984387
-120.0,24,43.01261
40.0,16,43.012706
-340.0,35,43.044259
-1090.0,56,43.066637
100.0,13,43.09233
-60.0,21,43.119813
20.0,17,43.137193
60.0,15,43.165092
-120.0,24,43.215003
-100.0,23,43.233896
-500.0,43,43.245521
-180.0,27,43.258962
80.0,14,43.278849
-600.0,48,43.320863
-80.0,22,43.333685
20.0,17,43.358308
-580.0,47,43.383885
-400.0,38,43.430101
-40.0,20,43.445036
-140.0,25,43.462991
-620.0,49,43.480745
80.0,14,43.508256
-180.0,27,43.508307
0.0,18,43.521345
-520.0,44,43.546307
-160.0,26,43.560918
-60.0,21,43.581276
-40.0,20,43.593073
120.0,12,43.607113
-360.0,36,43.651141
-40.0,20,43.651195
-80.0,22,43.673705
-20.0,19,43.687778
-680.0,52,43.707362
-320.0,34,43.747304
-100.0,23,43.761092
-160.0,26,43.793039
20.0,17,43.809798
-340.0,35,43.829484
-80.0,22,43.843799
-560.0,46,43.865062
40.0,16,43.896234
-100.0,23,43.92126
20.0,17,43.921389
-120.0,24,43.958008
-820.0,59,43.958064
-80.0,22,43.969475
-260.0,31,44.016518
-240.0,30,44.027189
-140.0,25,44.040715
-440.0,40,44.061376
80.0,14,44.073899
-340.0,35,44.088353
-220.0,29,44.126027
-760.0,56,44.150209
-180.0,27,44.169575
-540.0,45,44.200042
-580.0,47,44.2352
40.0,16,44.255231
-140.0,25,44.270628
-800.0,58,44.285154
-520.0,44,44.316722
-40.0,20,44.339507
-140.0,25,44.370888
-1050.0,69,44.395185
-440.0,40,44.407086
40.0,16,44.419159
-400.0,38,44.438896
-240.0,30,44.458251
20.0,17,44.474802
60.0,15,44.504874
-40.0,20,44.519358
-40.0,20,44.537505
-180.0,27,44.547805
20.0,17,44.575999
-200.0,28,44.593973
-200.0,28,44.622861
-140.0,25,44.640159
-40.0,20,44.653968
-360.0,36,44.683714
-760.0,56,44.702355
-200.0,28,44.713732
60.0,15,44.722443
-60.0,21,44.730554
40.0,16,44.77682
20.0,17,44.798253
-180.0,27,44.819196
-240.0,30,44.845822
-260.0,31,44.863574
-1010.0,52,44.887643
-60.0,21,44.912168
-180.0,27,44.929566
40.0,16,44.940731
-160.0,26,44.980485
20.0,17,45.011099
-640.0,50,45.046311
-480.0,42,45.078186
-280.0,32,45.078235
-320.0,34,45.109867
80.0,14,45.109937
-180.0,27,45.109966
-400.0,38,45.161874
-140.0,25,45.187272
-100.0,23,45.197172
-180.0,27,45.214061
-360.0,36,45.240307
0.0,18,45.262213
-120.0,24,45.279141
80.0,14,45.306207
-300.0,33,45.331053
-950.0,64,45.360385
-120.0,24,45.402879
-60.0,21,45.41933
-910.0,62,45.432199
-380.0,37,45.455678
-220.0,29,45.475771
-100.0,23,45.49884
80.0,14,45.512681
-740.0,55,45.532746
20.0,17,45.559906
-420.0,39,45.594992
-420.0,39,45.609639
60.0,15,45.62487
-100.0,23,45.631267
-260.0,31,45.645094
-440.0,40,45.676951
40.0,16,45.689826
-160.0,26,45.708237
40.0,16,45.725184
-280.0,32,45.747272
-440.0,40,45.783249
-200.0,28,45.800774
-120.0,24,45.812523
-280.0,32,45.82594
-380.0,37,45.854181
0.0,18,45.887167
-420.0,39,45.90146
