#{"t_start": 1693318771.3057616, "env_id": null}
r,l,t
595,13,171.171168
525,27,171.302251
530,26,171.413941
400,52,171.616908
560,20,171.71902
385,55,171.971308
590,14,172.054452
595,13,172.127521
555,21,172.212647
595,13,172.29158
530,26,172.420063
565,19,172.515351
565,19,172.593353
425,47,172.785233
385,55,173.005165
485,35,173.144452
530,26,173.259249
545,23,173.358842
575,17,173.428804
550,22,173.517202
535,25,173.606758
590,14,173.675155
405,51,173.882151
485,35,174.022974
570,18,174.106892
580,16,174.181721
535,25,174.309455
510,30,174.436064
535,25,174.580058
505,31,174.761614
545,23,174.898816
545,23,175.019239
530,26,175.175772
425,47,175.437839
495,33,175.614959
525,27,175.74569
450,42,175.991446
425,47,176.253801
535,25,176.367311
540,24,176.519242
600,12,176.598632
500,32,176.77105
595,13,176.843115
475,37,177.058984
585,15,177.150794
585,15,177.262352
475,37,177.489655
540,24,177.593833
560,20,189.932545
560,20,190.017267
575,17,190.111435
450,42,190.307069
565,19,190.389914
455,41,190.573841
590,14,190.645237
580,16,190.711437
515,29,190.835794
510,30,190.983741
575,17,191.072141
520,28,191.189731
485,35,191.351889
400,52,191.546416
545,23,191.658757
465,39,191.852184
590,14,191.92275
560,20,192.030539
545,23,192.152934
560,20,192.268288
470,38,192.395306
510,30,192.519372
460,40,192.681457
580,16,192.768332
560,20,192.880256
590,14,192.939054
500,32,193.064506
510,30,193.176224
475,37,193.332609
595,13,193.392756
550,22,193.490499
550,22,193.583552
390,54,193.806094
425,47,194.013641
590,14,194.120299
580,16,194.204747
565,19,194.285023
600,12,194.351461
565,19,194.464281
590,14,194.556065
510,30,194.723206
420,48,194.973733
555,21,195.088527
550,22,195.22356
410,50,195.531231
490,34,195.689853
550,22,195.787838
590,14,195.896435
520,28,196.046982
485,35,196.251284
570,18,196.357064
585,15,196.440018
565,19,196.572981
600,12,196.645463
575,17,196.74945
565,19,196.863992
535,25,197.012925
560,20,197.099727
525,27,197.247846
575,17,197.333806
460,40,197.570324
525,27,197.710979
330,66,198.087858
350,62,198.453919
590,14,198.537244
485,35,198.739454
380,56,199.085158
510,30,199.235083
550,22,199.355906
575,17,199.479713
450,42,199.698411
435,45,199.926464
540,24,200.049318
585,15,200.132732
575,17,200.258511
395,53,211.225998
525,27,211.358622
520,28,211.504915
510,30,211.64458
595,13,211.719937
560,20,211.817704
535,25,211.929952
505,31,212.066324
535,25,212.17656
510,30,212.285006
590,14,212.362651
530,26,212.482941
540,24,212.599361
530,26,212.710233
475,37,212.877258
495,33,213.021381
540,24,213.10788
525,27,213.227229
555,21,213.314474
550,22,213.396735
535,25,213.484612
565,19,213.583032
550,22,213.726252
415,49,213.961964
520,28,214.115109
545,23,214.246343
540,24,214.395075
490,34,214.599195
535,25,214.754546
550,22,214.9138
535,25,215.036566
435,45,215.286121
280,65,215.669926
600,12,215.736923
410,50,216.021331
560,20,216.149187
435,45,216.417426
550,22,216.526196
500,32,216.708836
575,17,216.808963
535,25,216.92096
565,19,217.029119
535,25,217.192001
550,22,217.40047
575,17,217.506887
540,24,217.621524
510,30,217.795298
480,36,218.04452
495,33,218.234011
590,14,218.330156
560,20,218.449628
480,36,218.640418
545,23,218.806374
560,20,218.937764
510,30,219.130024
535,25,219.290198
575,17,219.372028
600,12,219.452168
550,22,219.568662
570,18,219.664853
575,17,219.769708
540,24,219.919787
500,32,220.103412
545,23,220.232599
525,27,220.343586
375,57,220.587525
520,28,220.723528
555,21,220.8033
430,46,220.98898
520,28,221.12106
480,36,221.293843
545,23,221.406069
585,15,221.499375
585,15,221.574258
500,32,221.729089
470,38,232.395272
475,37,232.613526
580,16,232.732615
530,26,232.895115
465,39,233.141768
565,19,233.24315
580,16,233.328555
585,15,233.418889
430,46,233.639703
575,17,233.736681
585,15,233.803
555,21,233.913377
565,19,234.041059
495,33,234.212866
590,14,234.283878
480,36,234.476108
540,24,234.592112
565,19,234.7069
590,14,234.813188
575,17,234.922407
555,21,235.010831
535,25,235.168823
525,27,235.312711
560,20,235.435935
535,25,235.578332
475,37,235.784062
585,15,235.868187
380,56,236.171026
570,18,236.27423
590,14,236.359271
565,19,236.478954
565,19,236.582867
345,63,236.924923
550,22,237.059705
595,13,237.128412
560,20,237.239853
500,32,237.383954
565,19,237.491639
515,29,237.665929
445,43,237.930795
545,23,238.047281
345,63,238.378483
525,27,238.56796
560,20,238.670527
590,14,238.770484
565,19,238.900381
580,16,239.013619
485,35,239.181398
570,18,239.263201
550,22,239.36122
500,32,239.487642
560,20,239.584508
575,17,239.674387
445,43,239.857462
575,17,239.929446
560,20,240.015066
470,38,240.155374
505,31,240.272841
505,31,240.424725
500,32,240.570491
570,18,240.637346
595,13,240.689292
550,22,240.79072
560,20,240.88349
580,16,240.943836
535,25,241.028831
470,38,241.205278
480,36,241.339346
580,16,241.411396
585,15,241.483049
490,34,241.612843
600,12,241.680377
460,40,241.857319
525,27,241.964232
480,36,242.10424
515,29,242.247543
475,37,242.42002
565,19,242.501039
590,14,242.573283
560,20,242.666316
425,47,254.636651
345,63,254.871737
585,15,254.936293
485,35,255.124522
530,26,255.254859
490,34,255.414493
520,28,255.573309
520,28,255.705396
575,17,255.805743
550,22,255.930265
565,19,256.074223
500,32,256.224784
510,30,256.352537
575,17,256.475466
540,24,256.613197
430,46,256.889032
590,14,256.995314
590,14,257.107245
575,17,257.238544
480,36,257.430821
580,16,257.524247
500,32,257.697164
565,19,257.803618
545,23,257.906056
580,16,258.029732
590,14,258.11892
440,44,258.355453
550,22,258.496226
565,19,258.585167
545,23,258.672261
520,28,258.823984
545,23,258.931057
590,14,258.994902
480,36,259.151888
500,32,259.291146
550,22,259.376601
520,28,259.505608
530,26,259.622523
565,19,259.692823
500,32,259.83215
565,19,259.911877
580,16,259.991072
560,20,260.07999
555,21,260.187943
590,14,260.240529
345,63,260.594438
600,12,260.677083
570,18,260.77317
570,18,260.866657
565,19,260.943895
550,22,261.034535
580,16,261.105577
525,27,261.225225
545,23,261.332955
525,27,261.462347
485,35,261.600006
520,28,261.751859
520,28,261.889584
555,21,261.988652
470,38,262.150552
585,15,262.210868
445,43,262.389169
-205,52,262.620819
575,17,262.698111
590,14,262.776713
530,26,262.916553
550,22,263.005868
385,55,263.245035
575,17,263.310124
460,40,263.500615
595,13,263.549088
435,45,263.704036
425,47,263.899263
585,15,263.957147
535,25,264.064066
415,49,264.261783
460,40,264.424308
490,34,277.753839
475,37,277.968905
575,17,278.094266
565,19,278.174786
565,19,278.319863
505,31,278.447326
535,25,278.557992
515,29,278.675001
455,41,278.863412
295,73,279.174917
490,34,279.325418
600,12,279.37923
475,37,279.546103
510,30,279.6776
555,21,279.777205
485,35,279.950199
500,32,280.097683
445,43,280.291867
570,18,280.354268
385,55,280.615917
470,38,280.753935
585,15,280.818563
525,27,280.931452
555,21,281.022065
505,31,281.159622
585,15,281.223864
515,29,281.36821
590,14,281.428359
525,27,281.54569
570,18,281.623498
570,18,281.692393
560,20,281.783908
565,19,281.864244
575,17,281.942281
550,22,282.044432
500,32,282.149145
575,17,282.217553
530,26,282.335176
525,27,282.451319
510,30,282.578594
525,27,282.683243
510,30,282.820754
550,22,282.928739
340,64,283.187819
545,23,283.277638
565,19,283.365994
530,26,283.48594
550,22,283.57273
565,19,283.654007
475,37,283.829202
490,34,283.977626
395,53,284.215131
545,23,284.322513
560,20,284.416524
540,24,284.537344
560,20,284.62859
585,15,284.699721
515,29,284.821926
570,18,284.918179
555,21,285.014198
590,14,285.094274
485,35,285.26728
590,14,285.338761
545,23,285.416596
475,37,285.643742
520,28,285.748725
475,37,285.899685
550,22,285.985863
560,20,286.083333
545,23,286.193123
530,26,286.324536
590,14,286.388057
580,16,286.452838
590,14,286.507555
595,13,286.560286
505,31,286.696106
500,32,286.811804
555,21,300.599108
535,25,300.69372
565,19,300.780855
470,38,300.937489
495,33,301.080501
320,68,301.382983
505,31,301.504951
570,18,301.578726
555,21,301.681656
435,45,301.890449
540,24,301.983182
565,19,302.063128
420,48,302.245439
525,27,302.364652
570,18,302.445819
480,36,302.626547
475,37,302.755305
555,21,302.848134
545,23,302.972727
455,41,303.191913
560,20,303.268228
515,29,303.39865
550,22,303.48993
590,14,303.564854
535,25,303.664528
435,45,303.84205
400,52,304.018439
560,20,304.109537
580,16,304.173552
495,33,304.30715
535,25,304.415696
590,14,304.481812
545,23,304.554153
570,18,304.639381
575,17,304.70481
515,29,304.828207
590,14,304.897807
580,16,304.963781
540,24,305.076944
580,16,305.135161
520,28,305.268874
535,25,305.369588
530,26,305.506194
520,28,305.641369
520,28,305.782476
590,14,305.853451
485,35,305.996464
485,35,306.159835
590,14,306.235373
465,39,306.373181
435,45,306.579149
575,17,306.661928
525,27,306.759705
515,29,306.880255
485,35,307.014091
425,47,307.189679
525,27,307.322478
580,16,307.396724
475,37,307.573683
445,43,307.760746
570,18,307.860084
490,34,308.021598
510,30,308.164337
445,43,308.32504
590,14,308.382701
410,50,308.597197
460,40,308.751451
495,33,308.867204
465,39,309.003886
415,49,309.20695
535,25,309.333413
510,30,323.158134
405,51,323.362162
560,20,323.476509
385,55,323.703901
545,23,323.792301
395,53,324.004393
375,57,324.26633
525,27,324.38579
580,16,324.449309
475,37,324.566891
415,49,324.776317
460,40,324.945828
555,21,325.029919
570,18,325.110172
500,32,325.251695
515,29,325.355242
545,23,325.468011
465,39,325.669923
520,28,325.804811
435,45,325.977983
595,13,326.04927
540,24,326.156156
520,28,326.28839
435,45,326.46384
515,29,326.598519
525,27,326.715111
535,25,326.818192
530,26,326.938509
520,28,327.049891
465,39,327.234563
530,26,327.3555
460,40,327.552473
550,22,327.64326
490,34,327.811816
355,61,328.08376
580,16,328.160275
420,48,328.389703
370,58,328.642134
595,13,328.703019
570,18,328.792287
435,45,328.973876
560,20,329.078428
515,29,329.193456
445,43,329.390049
455,41,329.579986
485,35,329.753572
490,34,329.880574
485,35,330.003941
490,34,330.162398
525,27,330.295289
540,24,330.415437
575,17,330.507687
515,29,330.691485
540,24,330.831206
580,16,330.923781
595,13,331.000282
515,29,331.175418
590,14,331.264512
350,62,331.560023
580,16,331.675295
405,51,331.978922
515,29,332.159138
-220,55,332.484303
395,53,345.336946
565,19,345.426065
580,16,345.473731
465,39,345.627695
505,31,345.770133
495,33,345.896879
575,17,345.977634
435,45,346.174137
600,12,346.228384
545,23,346.332891
535,25,346.451847
360,60,346.722692
500,32,346.872293
595,13,346.922001
375,57,347.145451
595,13,347.193885
485,35,347.350582
570,18,347.440043
540,24,347.576177
555,21,347.693084
510,30,347.83321
590,14,347.901978
515,29,348.044688
590,14,348.106254
560,20,348.18674
570,18,348.274399
535,25,348.39621
560,20,348.486072
505,31,348.623472
505,31,348.756505
455,41,348.966081
585,15,349.037081
465,39,349.194374
585,15,349.264846
525,27,349.380508
580,16,349.477692
525,27,349.595851
535,25,349.69496
520,28,349.827905
595,13,349.899293
465,39,350.141738
465,39,350.346373
575,17,350.439031
430,46,350.684385
510,30,350.876473
500,32,351.098133
560,20,351.234735
450,42,351.446239
545,23,351.577412
545,23,351.70649
560,20,351.860693
510,30,351.998514
580,16,352.096174
580,16,352.183266
545,23,352.317209
545,23,352.479574
415,49,352.70982
580,16,352.8154
570,18,352.896655
310,70,353.236629
555,21,353.367856
580,16,353.463844
440,44,353.714799
495,33,353.856774
500,32,354.042262
270,67,354.430698
560,20,354.575219
485,35,354.759744
370,58,355.105762
530,26,355.242222
525,27,355.419357
585,15,355.500007
585,15,355.588333
545,23,366.739498
505,31,366.861088
485,35,367.012369
565,19,367.106404
550,22,367.222189
570,18,367.287223
415,49,367.481459
575,17,367.560174
490,34,367.727019
595,13,367.803312
475,37,368.07714
560,20,368.138506
470,38,368.313912
475,37,368.477277
320,68,368.821943
530,26,368.994152
560,20,369.117926
470,38,369.335203
550,22,369.457295
420,48,369.740687
550,22,369.859967
565,19,369.989166
540,24,370.161399
550,22,370.321185
550,22,370.447156
560,20,370.578251
535,25,370.727344
400,52,370.963064
590,14,371.037557
560,20,371.18984
505,31,371.382149
475,37,371.552107
560,20,371.684727
570,18,371.809043
585,15,371.882141
570,18,372.003578
535,25,372.109498
500,32,372.299499
450,42,372.508887
520,28,372.65569
520,28,372.815727
565,19,372.945761
450,42,373.180252
560,20,373.324693
470,38,373.510031
465,39,373.749507
565,19,373.886085
590,14,373.970379
480,36,374.173754
595,13,374.266949
565,19,374.401787
600,12,374.459671
380,56,374.750764
510,30,374.925443
540,24,375.063222
275,77,375.391364
555,21,375.482989
455,41,375.650648
480,36,375.82054
365,59,376.053113
410,50,376.278386
550,22,376.371018
500,32,376.518082
565,19,376.593073
535,25,376.708209
405,51,376.947124
530,26,377.058928
485,35,377.200794
295,73,388.413102
565,19,388.50261
560,20,388.590477
550,22,388.714488
590,14,388.825211
485,35,389.030311
470,38,389.215626
530,26,389.362281
575,17,389.472188
505,31,389.639161
555,21,389.750211
550,22,389.899419
380,56,390.195445
420,48,390.426577
555,21,390.522204
580,16,390.630567
495,33,390.835277
-210,53,391.130836
535,25,391.283104
590,14,391.369032
525,27,391.528966
545,23,391.661794
570,18,391.75961
510,30,391.921359
600,12,391.970982
585,15,392.06166
595,13,392.165529
575,17,392.263947
405,51,392.525198
550,22,392.660534
520,28,392.812103
250,71,393.27454
475,37,393.470119
535,25,393.608341
385,55,393.868546
580,16,393.980022
565,19,394.077626
580,16,394.170295
495,33,394.310312
580,16,394.377879
585,15,394.446303
515,29,394.591501
565,19,394.66206
490,34,394.834498
375,57,395.070735
505,31,395.181406
400,52,395.411761
530,26,395.512568
570,18,395.590145
565,19,395.672661
520,28,395.790187
580,16,395.864286
470,38,396.004414
550,22,396.114574
490,34,396.249479
