#{"t_start": 1692020210.5754473, "env_id": null}
r,l,t
-900,63,182.382558
-280,32,182.544024
-40,20,182.633424
-240,30,182.734522
-60,21,182.846871
-200,28,182.969428
-200,28,183.142017
40,16,183.215213
-440,40,183.370002
-220,29,183.557843
-400,38,183.685266
-480,42,183.898015
-160,26,184.034099
-60,21,184.126604
-180,27,184.251957
-240,30,184.393843
-180,27,184.517431
20,17,184.575958
-200,28,184.696769
-140,25,184.810056
-520,44,185.031164
-100,23,185.15059
-160,26,185.274196
-100,23,185.34918
-20,19,185.44063
-580,47,185.642419
-40,20,185.713103
-280,32,185.828207
-300,33,185.987925
-140,25,186.093529
-540,45,186.247662
60,15,186.29824
-120,24,186.415037
-220,29,186.516352
40,16,186.591445
60,15,186.662581
20,17,186.74334
-80,22,186.850263
0,18,186.94589
-100,23,187.048054
-920,64,187.308754
-20,19,187.378885
-220,29,187.501373
-160,26,187.620411
-220,29,187.770935
40,16,187.827707
100,13,187.8851
-40,20,187.972915
-20,19,188.055708
-40,20,188.14661
-200,28,188.229382
40,16,188.278951
-780,57,188.462981
-420,39,188.689782
-460,41,188.81407
-80,22,188.909393
-440,40,189.086106
-220,29,189.233617
0,18,189.304242
-80,22,189.416128
60,15,189.494148
-100,23,189.599473
0,18,189.662919
-360,36,189.821296
-100,23,189.960071
120,12,190.028523
-140,25,190.133035
-280,32,190.258524
-360,36,190.425067
-80,22,190.544311
40,16,190.608458
-480,42,190.770133
-160,26,190.869669
80,14,190.94228
-80,22,191.075712
80,14,191.153647
-20,19,191.248565
-700,53,208.592486
-300,33,208.743011
-280,32,208.879099
-660,51,209.076954
-160,26,209.188119
-420,39,209.336411
-860,61,209.601077
60,15,209.657923
-160,26,209.799239
-940,65,210.07836
-240,30,210.226812
-220,29,210.379533
-80,22,210.48395
-200,28,210.597859
-60,21,210.681567
-20,19,210.772728
-60,21,210.84786
-200,28,210.957763
-400,38,211.1007
-320,34,211.197898
0,18,211.252211
-240,30,211.374077
-460,41,211.553078
-200,28,211.658437
-40,20,211.74921
0,18,211.830317
-220,29,211.909368
20,17,212.004401
-40,20,212.10529
-440,40,212.282469
80,14,212.363386
-140,25,212.462903
-60,21,212.562031
-200,28,212.674413
80,14,212.770482
-320,34,212.917478
-40,20,212.997799
-140,25,213.107646
-40,20,213.208728
-140,25,213.293008
-960,66,213.594963
100,13,213.637461
-40,20,213.75314
-780,57,213.975976
-60,21,214.067809
-300,33,214.240243
20,17,214.344326
-910,62,214.598797
-20,19,214.691277
-20,19,214.819712
-140,25,214.926397
-340,35,215.110128
-300,33,215.237334
-80,22,215.345582
-540,45,215.518811
40,16,215.590052
-220,29,215.724379
-120,24,215.809494
60,15,215.882586
-340,35,216.026955
-220,29,216.123539
-280,32,216.295952
-120,24,216.411636
20,17,216.479892
-520,44,216.632467
60,15,216.705437
-260,31,216.86858
-240,30,216.991633
60,15,217.044829
-220,29,217.166049
-100,23,217.314033
80,14,217.374769
-220,29,233.956167
-260,31,234.12719
-360,36,234.286634
-480,42,234.525319
-1050,54,234.70577
-180,27,234.842595
-340,35,235.021732
-200,28,235.144705
-60,21,235.233134
-180,27,235.345821
-640,50,235.566328
-620,49,235.761136
100,13,235.819413
60,15,235.883932
-260,31,236.017995
-40,20,236.135964
-320,34,236.266868
-320,34,236.410802
-60,21,236.530903
-180,27,236.605182
-220,29,236.700017
-100,23,236.760542
-180,27,236.864959
-500,43,237.015491
60,15,237.075511
-380,37,237.235323
80,14,237.306273
-540,45,237.491364
-140,25,237.607575
-320,34,237.734657
-140,25,237.83931
-340,35,237.999573
-540,45,238.195864
-380,37,238.369763
-80,22,238.467419
-80,22,238.595209
-180,27,238.714769
-20,19,238.822334
-1030,53,239.049402
-80,22,239.175103
-420,39,239.346071
-240,30,239.465984
-680,52,239.653467
100,13,239.686746
0,18,239.789323
-300,33,239.963806
-180,27,240.091004
-40,20,240.201139
-220,29,240.348289
-500,43,240.570704
100,13,240.636743
-140,25,240.722142
-200,28,240.850283
-300,33,241.018616
-660,51,241.186177
-200,28,241.29666
60,15,241.371698
40,16,241.437695
-40,20,241.508907
-440,40,241.655359
-140,25,241.779792
80,14,241.81549
-220,29,241.975759
-120,24,242.076927
-120,24,242.193834
-20,19,242.275551
-900,63,242.470227
40,16,242.533015
60,15,242.618387
-240,30,259.333887
-140,25,259.453182
-240,30,259.559263
-140,25,259.688228
-100,23,259.749099
-260,31,259.935179
-40,20,260.009931
-160,26,260.147475
-160,26,260.255658
-220,29,260.376822
0,18,260.439832
-280,32,260.579487
-520,44,260.748869
-180,27,260.891026
-420,39,261.085806
-640,50,261.295532
-80,22,261.381859
-880,62,261.675056
-120,24,261.772085
-500,43,261.980248
-120,24,262.091913
-80,22,262.200362
-400,38,262.343868
-120,24,262.470478
-60,21,262.573173
-990,66,262.787021
-680,52,262.98329
-840,60,263.206265
-360,36,263.413818
40,16,263.480762
-260,31,263.611505
-1000,68,263.959118
-120,24,264.064516
-180,27,264.168635
-160,26,264.289407
-600,48,264.470108
-120,24,264.582681
-20,19,264.67134
-20,19,264.766046
-240,30,264.879179
-80,22,264.98611
0,18,265.058692
-140,25,265.128698
80,14,265.168234
120,12,265.23428
-380,37,265.34378
0,18,265.417706
-120,24,265.513116
20,17,265.581341
-400,38,265.748841
-300,33,265.926881
-380,37,266.106033
-120,24,266.194127
20,17,266.279942
-80,22,266.34664
-80,22,266.439942
-420,39,266.600493
-160,26,266.722142
20,17,266.79694
-60,21,266.86194
-80,22,266.985895
-400,38,267.150407
-200,28,267.324866
-60,21,267.452477
20,17,267.544032
-520,44,267.725921
80,14,267.792971
-440,40,267.966443
-460,41,268.146021
-80,22,268.279928
-80,22,284.984502
-580,47,285.164776
60,15,285.237308
-160,26,285.363185
-80,22,285.447086
-420,39,285.589903
40,16,285.656509
-360,36,285.822248
-440,40,286.023821
-60,21,286.138179
-100,23,286.233278
-220,29,286.357263
-180,27,286.464181
100,13,286.538408
40,16,286.634279
-220,29,286.74821
-300,33,286.866528
-200,28,286.968047
-320,34,287.086342
-60,21,287.20602
-160,26,287.298683
20,17,287.411925
20,17,287.475059
-60,21,287.59201
-220,29,287.700261
100,13,287.746549
20,17,287.822053
-900,63,288.049591
-500,43,288.270327
-200,28,288.392583
0,18,288.525187
-140,25,288.610298
100,13,288.677652
-80,22,288.778645
-760,56,288.981174
80,14,289.029481
120,12,289.103983
0,18,289.183049
-400,38,289.321515
100,13,289.376274
-320,34,289.495511
-260,31,289.626865
-100,23,289.733769
60,15,289.794531
40,16,289.888385
40,16,289.969738
-140,25,290.10043
-220,29,290.22454
-320,34,290.384028
-480,42,290.510938
20,17,290.59892
60,15,290.688858
-300,33,290.777385
-20,19,290.840683
-260,31,290.998797
80,14,291.06199
-540,45,291.277287
-200,28,291.39542
-300,33,291.560312
-160,26,291.656749
120,12,291.715602
-180,27,291.841593
20,17,291.934896
-60,21,292.000925
-160,26,292.108802
-380,37,292.262745
-300,33,292.424667
40,16,292.499852
-360,36,292.672853
